type,title,author,year,latitude,longitude,image_name
Escultura,TOMÁS CIPRIANO DE MOSQUERA,PIETRO TENERARI,1978,6.255336,-75.563057,pietrotenerari_tomasciprianodemosquera.png
Escultura,ARZOBISPO MANUEL JOSÉ CAICEDO ,PIETRO TENERARI,1951,6.254804,-75.564343,pietrotenerari_arzobispomanueljosecaicedo.png
Escultura,FIDEL CANO,FRANCISCO  CANO,1920,6.252641,-75.564715,franciscocano_fidelcano.png
Escultura,PLACA MISTER JAMES TYRREL MOORE,JOSE MARÍN VIECO,1942,6.252705,-75.564543,josemarinvieco_placamisterjamestyrrelmoore.png
Escultura,GENERAL FRANCISCO ANTONIO ZEA,MARCO TOBÓN MEJÍA,1952,6.253300,-75.570300,marcotobonmejia_generalfranciscoantoniozea.png
Escultura,ATANASIO GIRARDOT,FRANCISCO ANTONIO CANO,1910,6.251037,-75.569306,franciscoantoniocano_atanasiogirardot.png
Escultura,FUENTE PLAZA VERACRUZ,DESCONOCIDO,1853,6.251177,-75.569592,desconocido_fuenteplazaveracruz.png
Escultura,RAFAEL URIBE URIBE,MARCO TOBÓN MEJÍA,1964,6.247673,-75.567736,marcotobonmejia_rafaeluribeuribe.png
Escultura,FUENTE PILETA,FRANCISCO ANTONIO CANO,1902,6.247362,-75.565696,franciscoantoniocano_fuentepileta.png
Escultura,JORGE ELIÉCER GAITÁN,OSCAR ROJAS,sin fecha,6.248193,-75.565120,oscarrojas_jorgeeliecergaitan.png
Escultura,JOSÉ DE SAN MARTÍN,ORALANDO S. TAGNATO,1950,6.248252,-75.565163,orlandostagnato_josedesanmartin.png
Escultura,SIMÓN BOLIVAR,EUGENIO MACCAGNANI,1923,6.252950,-75.564639,eugeniomaccagnani_simonbolivar.png
Escultura,JORGE ROBLEDO,OCTAVIO MONTOYA,1946,6.275798,-75.596206,octaviomontoya_jorgerobledo.png
Escultura,RAYUELA,GRUPO UTOPÍA,1997,6.249639,-75.580654,grupoutopia_rayuela.png
Escultura,VENUS DURMIENTE,FERNANDO BOTERO,1994,6.245101,-75.568965,fernandobotero_venusdurmiente.png
Escultura,PÁJARO ,FERNANDO BOTERO,1994, 6.245191,-75.568923,fernandobotero_pajaro.png
Escultura,TORSO MASCULINO,FERNANDO BOTERO,1994,6.245076,-75.568936,fernandobotero_torsomasculino.png
Escultura,PUERTA DE SAN ANTONIO,RONNY VAYDA,1994,6.245252,-75.568881,ronnyvayda_puertadesanantonio.png
Escultura,PEDRO JUSTO BERRÍO,GIOVANNI ANDERLINI,1893,6.249467,-75.568292,giovannianderlini_pedrojustoberrio.png
Escultura,FERNANDO GOMEZ MARTÍNEZ,LUZ MARIA PIEDRAHITA,1999,6.248199, -75.561468,luzmariapiedrahita_fernandogomezmartinez.png
Escultura,EL CACIQUE NUTIBARA,PEDRO NEL GOMEZ,1954,6.251773,-75.567965,pedronelgomez_elcaciquenutibara.png
Escultura,PEDRO JOSÉ BERRÍO ,DESCONOCIDO,sin fecha,6.252002,-75.568097,desconocido_pedrojoseberrio.png
Escultura,EL ÁRBOL DE LA VIDA,FANOR HERNÁNDEZ ORDOÑEZ,1997,6.283523,-75.583697,fanorhernandezordonez_elarboldelavida.png
Escultura,EL ÁRBOL DE LA VIDA,JOSÉ AUGUSTO RIVERA CASTRO,1997,6.279081,-75.571123,joseaugustoriveracastro_elarboldelavida.png
Escultura,MONUMENTO AL SALVADOR,SIGMONE Y CIA DE PED  BURAGLIA,1917,6.241413,-75.565039,sigmoneyciadepedburaglia_monumentoalsalvador.png
Escultura,MONUMENTO A LA RAZA,RODRIGO ARENAS BETANCOURT,1979 - 1988,6.244365,75.573396,rodrigoarenasbetancourt_monumentoalaraza.png
Escultura,FRANCISCO JAVIER CISNEROS,MARCO TOBÓN MEJÍA,1923,6.245033,75.572613,marcotobonmejia_franciscojaviercisneros.png
Escultura,PERENNIDAD,GUILLERMO VILLEGAS MEJÍA,1997,6.307785,-75.580185,guillermovillegasmejia_perennidad.png
Escultura,LA PODA,BERNARDO SALCEDO,1997,6.185441,-75.553107,bernardosalcedo_lapoda.png
Escultura,HORIZONTES,JOHN CASTLES,1997,6.207243,-75.586425,johncastles_horizontes.png
Escultura,SIGNO PARA MEDELLÍN,OTTO HERBERT HAJEK,1997,6.218692,-75.592442,ottoherberthajek_signoparamedellin.png
Escultura,VENUS FRAGMENTÁNDOSE CON PLATANILLOS,MARTA MINUJIN,1997,6.230909,-75.607610,martaminujin_venusfragmentandoseconplatanillos.png
Escultura,FORMAS,FRANCISCO MATTO,1997,6.248437,-75.615800,franciscomatto_formas.png
Escultura,AGORA ,RONNY VAYDA,1997,6.245529,-75.583884,ronnyvayda_agora.png
Escultura,EL MECÁNICO,JUSTO AROSEMENA,1997,6.248338,-75.577199,justoarosemena_elmecanico.png
Escultura,TRAMPOLÍN 1 Y 2,SALVADOR ARANGO,1997,6.235472,-75.555236,salvadorarango_trampolin1y2.png
Escultura,DOCTOR LEÓN ARANGO PAUCAL,JORGE VÉLEZ CORREA,1991,6.243369,-75.573456,jorgevelezcorrea_doctorleonarangopaucal.png
Escultura,OFRENDA DE PAZ,LUCY CORREA,2003,6.189810,-75.547693,lucycorrea_ofrendadepaz.png
Escultura,EL ALADINO,GAVI GAVIRIA CRISTOBAL ,2003,6.189810,-75.547693,gavigaviriacristobal_elaladino.png
Escultura,EL GENIO,GAVI GAVIRIA CRISTOBAL ,2003,6.189816,-75.547701,gavigaviriacristobal_elgenio.png
Escultura,HOMENAJE A CARLOS GARDEL,SALVADOR ARANGO,2003,6.214199,-75.590394,salvadorarango_homenajeacarlosgardel.png
Escultura,TALENTOS EN LIBERTAD,LUZ MARIA PIEDRAHITA,2003,6.285183,-75.556494,luzmariapiedrahita_talentosdelibertad.png
Escultura,JORGE ELIECER GAITÁN AYALA ,RODOLFO MONTOYA,2004,6.265010,-75.548438,rodolfomontoya_jorgeeliecergaitanayala.png
